1	27
2	39
3	48
4	58
5	60
6	62
7	93
8	115
9	119
10	124
11	132
12	143
13	146
14	148
15	152
16	152
17	205
18	208
19	323
20	330
21	368
22	407
23	417
24	419
25	420
26	454
27	459
28	463
29	486
30	497
31	506
32	582
33	585
34	768
35	770
36	785
37	812
38	825
39	828
40	831
41	833
42	834
43	844
44	844
45	851
46	853
47	930
48	934
49	938
50	942
51	948
52	969
53	971
54	970
55	979
56	982
57	978
58	983
59	986
60	986
61	992
62	1059
63	1061
64	1061
65	1063
66	1088
67	1095
68	1096
69	1096
70	1103
71	1105
72	1106
73	1132
74	1136
75	1134
76	1137
77	1134
78	1144
79	1145
80	1144
81	1176
82	1182
83	1182
84	1182
85	1184
86	1191
87	1208
88	1248
89	1255
90	1256
91	1267
92	1269
93	1273
94	1276
95	1274
96	1270
97	1266
98	1258
99	1221
100	1232
101	1225
102	1223
103	1232
104	1240
105	1291
106	1287
107	1288
108	1286
109	1288
110	1288
111	1272
112	1294
113	1295
114	1296
115	1293
116	1290
117	1292
118	1285
119	1286
120	1304
121	1276
122	1279
123	1279
124	1280
125	1280
126	1278
127	1288
128	1281
129	1249
130	1245
131	1238
132	1242
133	1233
134	1240
135	1241
136	1222
137	1221
138	1221
139	1221
140	1215
141	1214
142	1214
143	1206
144	1169
145	1160
146	1156
147	1156
148	1154
149	1157
150	1157
151	1139
152	1134
153	1132
154	1136
155	1109
156	1108
157	1098
158	1049
159	1049
160	1031
161	1029
162	1026
163	1020
164	1022
165	1021
166	1022
167	1016
168	1002
169	981
170	929
171	937
172	939
173	899
174	896
175	857
176	862
177	851
178	847
179	852
180	859
181	873
182	901
183	939
184	944
185	944
186	953
187	957
188	980
189	987
190	999
191	1027
192	1031
193	1049
194	1093
195	1094
196	1135
197	1147
198	1154
199	1163
200	1164
201	1179
202	1193
203	1202
204	1212
205	1118
206	1138
207	1148
208	1155
209	1266
210	1283
211	1332
212	1335
213	1348
214	1365
215	1375
216	1419
217	1434
218	1472
219	1466
220	1398
221	1404
222	1414
223	1429
224	1547
225	1591
226	1676
227	1688
228	1677
229	1672
230	1643
231	1645
232	1646
233	1642
234	1640
235	1614
236	1609
237	1584
238	1582
239	1568
240	1572
241	1561
242	1567
243	1548
244	1550
245	1523
246	1507
247	1502
248	1500
249	1501
250	1484
251	1482
252	1469
253	1463
254	1458
255	1454
256	1448
257	1453
258	1445
259	1447
260	1446
261	1443
262	1442
